niveau;titre;nom;description;construction;exemple
N2;Base verbale + がち;Base verbale + がち : avoir tendance à souvent ~;Peut se traduire par : avoir tendance à souvent ~\nSuggère qu'une action a tendance à se répéter souvent ou facilement\nS'utilise pour souligner quelque chose de négatif comme : être absent, être malade...;Verbe en ます sans ます + がち;彼女は学校に遅れがちだ。\n多くの青年が同じ過ちを犯しがちである。\n私たちは時間を浪費しがちである。
N2;Base verbale + きれる / きれない;Base verbale + きれる / きれない : être (in)capable de faire entièrement quelque chose;Avec きれる, on indique qu’on est capable de faire complètement quelque chose\nAvec きれない, on indique qu’on ne peut pas aller jusqu’au bout;Verbe en ます sans ます + きれる / きれない;一年でローンが払いきれるか。\n彼は使いきれないほどの金を稼ぐ。\n彼女は読みきれないほどたくさんの本を持っている。
N2;Base verbale + っこない;Base verbale + っこない : il n’y a pas moyen de ~;Exprime un refus catégorique ou l’impossibilité logique\nRegistre oral et familier;Verbe en ます sans ます + っこない;それは君だってまちがいっこない。\n今日は用事いっぱいあるので休みっこない。\n彼は今夜たくさん飲んだので、安全に運転出来っこない。
N2;Base verbale + 次第 (しだい);Base verbale + 次第 (しだい) : dès que ~;Exprime une séquence planifiée : B sera fait immédiatement après que A est terminé\nNe peut pas être suivi d’un passé;Verbe en ます sans ます + 次第;北海道に着き次第、一筆差し上げます。\n終わり次第すぐにこの質問用紙を送ります。
N2;だらけ;だらけ : plein de ~;Peut se traduire par : couvert de ~ / rempli de ~ (avec connotation désagréable);Nom + だらけ (ou + の + nom);床は血だらけだった。\nせっけんだらけの手で私にさわらないで。\n彼は泥だらけだった。
N2;どころか;どころか : loin de ~;Peut se traduire par : loin de ~, voire même ~;Nom / verbe / adjectif + どころか;彼は貯金するどころか借金だらけだ。\nあの人は英語どころかアラビア語もスワヒリ語も話せる。\nそれは失敗どころか大成功だった。
N2;はもとより / はもちろん;はもとより / はもちろん : bien évidemment ~ mais aussi ~;Exprime une évidence suivie d’un ajout\nはもとより est plus formel;Nom + はもとより / はもちろん;彼は私たちに着物はもちろんお金もくれた。\n学生はもちろん先生も来た。\n彼女は英語はもちろん、フランス語も話せる。
N2;一方だ;一方だ (いっぽうだ) : continuer à ~ de plus en plus;Exprime une tendance continue ou croissante\nNeutre ou négative;Verbe à la forme neutre + 一方だ;物価は上がる一方だ。\n最近英語を使わないので、忘れる一方で困っている。
N2;から ~ にかけて;から ~ にかけて : de ~ à ~;Exprime une étendue approximative dans le temps ou l’espace (≠ から〜まで);Nom + から + Nom + にかけて;このため、今夜から明日にかけて曇りや雨の天気でしょう。\n北海道から東北にかけて地震が発生しました。
N2;にかぎって;に限って (にかぎって) : particulièrement lorsque ~;Utilisé pour exprimer qu’un événement inhabituel se produit précisément dans un certain contexte;Nom + に限って;急いでいる時に限ってバスが遅れる。\nその日に限って彼は欠席だった。
N2;にかんして;に関して (にかんして) : concernant ~;Utilisé pour introduire un sujet de discussion ou d’étude\nSoutenu, proche de について;Nom + に関して / に関する;旅行に関しては、切符を持っています。\nインターネットに関する規制が強まっている。\nその問題に関して調査中です。
N2;にかわって;に代わって / に代わり (にかわって) : à la place de ~;1) Remplacement : à la place de quelqu’un/quelque chose\n2) Représentation : au nom de quelqu’un;Nom + に代わって / に代わり;今はメールに代わってチャットが使われている。\n父に代わってご挨拶申し上げます。
N2;にきまっている;に決まっている : c’est forcément ~;Exprime une certitude forte fondée sur la logique ou l’intuition\nSoutenu à l’oral;Phrase + に決まっている;あんな話、嘘に決まっている。\n誰がやったかなんて、彼に決まっている。
N2;にくらべて;に比べて (にくらべて) : comparé à ~;Permet de faire une comparaison explicite entre deux éléments;Nom + に比べて;去年に比べて、今年の夏は涼しい。\n兄に比べて、私は背が低い。
