Niveau;Titre;Nom;Description;Construction;Exemples;;;;
N3;Base verbale + がち;Base verbale + がち : avoir tendance à souvent ~;"Peut se traduire par : avoir tendance à souvent ~
Suggère qu'une action a tendance à se répéter souvent ou facilement
S'utilise pour souligner quelque chose de négatif comme : être absent; être malade...";Verbe dans sa forme en ます et on remplace le ます par がち;"彼女は学校に遅れがちだ。
Elle a tendance à souvent arriver en retard à l'école。
多くの青年が同じ過ちを犯しがちである。
Beaucoup de jeunes ont facilement tendance à commettre les mêmes erreurs。
私たちは時間を浪費しがちである。
On a tendance à souvent gaspiller notre temps。";;;;
N3;Base verbale + きれる ou きれない;Base verbale + きれる ou きれない : être capable ou ne pas être capable de faire entièrement quelque chose;"Avec きれる; on indique que l'on est capable de faire complètement quelque chose
Avec きれない; on indique que l'on n'est pas capable de faire entièrement quelque chose";Verbe dans sa forme en ます et on remplace le ます par きれる ou きれない;"一年でローンが払いきれるか。
Est-ce que tu peux rembourser complètement ton emprunt en une année ?
彼は使いきれないほどの金を稼ぐ。
Il gagne plus d'argent qu'il ne peut en dépenser。
彼女は読みきれないほどたくさんの本を持っている。
Elle a tellement de livres qu'elle n'est pas capable de tous les lire。";;;;
N3;Base verbale + っこない;"Base verbale + っこない : n'est pas possible de ~; ne peut absolument pas ~";"Peut se traduire par : il n'y a pas moyen de ~; il ne peut absolument pas ~; il ne peut vraisemblablement pas ~
S'utilise lorsque le locuteur n'envisage absolument pas une action
S'utilise à l'oral";"Verbe dans sa forme en ます et on remplace le ます par っこ + ない ou ありません (plus poli)
Verbe à la forme potentielle formelle et on remplace le ます final par っこ + ない ou ありません";"それは君だってまちがいっこない。
Tu ne peux pas te tromper。
今日は用事いっぱいあるので休みっこない。
J'ai tellement de choses à faire aujourd'hui que je ne peux vraisemblablement pas prendre de pause。
彼は今夜たくさん飲んだので、安全に運転出来っこない。
Il ne pourra pas conduire en toute tranquillité car il a beaucoup bu ce soir。";;;;
N3;Base verbale + しだい;"Base verbale + 次第 (しだい) : aussitôt après ~; dès que ~";"Peut se traduire par : aussitôt après A; B
Implique une série planifiée d'action : dès que A est terminée; alors B va être fait immédiatement après
Ne peut pas être utilisé avec un verbe passé";"Verbe dans sa forme en ます et on remplace le ます par 次第
Le verbe qui suit ne doit pas être au passé";"北海道に着き次第、一筆差し上げます。
Dès que j'arrive à Hokkaïdo; je t'écris quelques lignes。
終わり次第すぐにこの質問用紙を送ります。
""だらけ";だらけ : plein de ~;"Peut se traduire par : plein de ~; pleine de ~
S'utilise pour exprimer quelque chose de négatif; de désagréable";"Nom + だらけ(だ)
Nom + だらけ + の + nom";"床は血だらけだった。
Le sol était couvert de sang。
せっけんだらけの手で私にさわらないで。
Ne me touche pas avec tes mains pleines de savon。
彼は泥だらけだった。
Il était couvert de boue。"
N3;どころか;"どころか : loin de ~; ~ en fait";"Peut se traduire par : loin de ~; ~ en fait ; non seulement ~; mais ~ même
Permet de montrer que quelqu'un ou quelque chose est loin de l'idée que l'on en attendait
A+どころか+B : B se trouve être une situation éloignée de ce qui est énoncé dans A";"Verbe à la forme neutre ou nom ou adjectif en い + どころか
Adjectif en な sans le な final + どころか";"彼は貯金するどころか借金だらけだ。
Il est loin d'économiser de l'argent; il est couvert de dettes！
あの人は英語どころかアラビア語もスワヒリ語も話せる。
Non seulement il parle anglais; mais il peut en plus parler l'arabe et le swahili。
それは、失敗どころか、大成功だった。
Loin d'être un échec; ce fut une très grande réussite。";;;;
N3;"はもとより; はもちろん";"はもとより; はもちろん : bien évidemment ~ mais aussi ~";"Permet de citer quelque chose qui semble évident puis de lister d'autres points par la suite
はもちろん s'utilise plus à l'oral et はもとより à l'écrit";Nom + はもとより ou はもちろん;"彼は私たちに着物はもちろんお金もくれた。
Il nous a donné bien évidemment des vêtements mais aussi de l'argent。
学生はもちろん先生も来た。
Les élèves sont bien sûr arrivés mais également les professeurs。
彼女は英語はもちろん、フランス語も話せる。
Elle sait bien sûr parler anglais mais aussi français。";;;;
N3;いっぽうだ;一方だ (いっぽうだ) : indiquer qu'une action suit de plus en plus une certaine tendance;"Pour indiquer qu'une action suit de plus en plus une certaine tendance
S'emploie avec un verbe qui exprime un changement";Verbe à la forme neutre + 一方だ;"物価は上がる一方だ。
Les prix ne font qu'augmenter。
最近英語を使わないので、忘れる一方で困っている。
Je m'inquiète d'oublier de plus en plus l'anglais du fait que je ne l'emploie pas ces temps-ci。";;;;
N3;から ~ にかけて;から… に掛けて (にかけて) : de… à…;"から : marque un point d'origine ou un point de départ dans le temps ou un lieu (= de ~)
にかけて : désigne un point de destination temporel ou géographique (= jusqu'à ~/à ~)
Contrairement au couple から… まで; les limites temporelles ou géographiques ne sont pas connues avec précision";Nom + から + Nom + にかけて;"このため、今夜から明日にかけて曇りや雨の天気でしょう。
A cause de ceci; le temps sera probablement couvert et pluvieux de cette nuit à demain。
今週末から来週にかけて大蔵大臣は中国を訪問するつもりです。
Le ministre des finances a prévu de faire une visite en Chine de ce week-end jusqu'à la semaine prochaine。
北海道から東北に掛けて地震が発生しました。
Le tremblement de terre est survenu de Hokkaidô à Tôhoku。";;;;
N3;にかぎって;"に限って (にかぎって) : particulièrement lors de ~; seulement lorsque ~";"S'utilise lorsqu'on a quelque chose de particulier ou qui sort du cadre habituel qui arrive
Peut se traduire par : particulièrement lors de ~; seulement lorsque ~; spécialement quand ~";Nom + に限って;"急いでいる時に限ってバスが遅れる。
C'est seulement lorsque l'on se dépêche que le bus arrive en retard。
その日に限って彼は欠席だった。
Il était absent particulièrement lors de ce jour。";;;;
N3;にかんして;"に関して (にかんして) : concernant ~; à propos de ~";"Peut se traduire par : concernant ~; à propos de ~
Permet d'évoquer un sujet dont on parle; que l'on pense...
について a un sens proche";Nom + に関して ou に関しても ou に関する;"インターネットに関しては、もっと管制するの必要がありますか。
A propos d'Internet; a-t'on besoin de plus de régulation ?
旅行に関しては、切符を持っています。
Si tu parles du voyage; j'ai les tickets。
あの問題に関する説明を読む。
Concernant ce problème; je lis les explications。";;;;
