Niveau;Kanas;Kanjis;Francais
N3;アイスクリーム;;crème glacée
N3;アイロン;;fer à repasser
N3;アウト;;dehors, à l'extérieur
N4;アクセサリー;;accessoire
N1;アクセル;;accélérateur
N2;アクセント;;"accent"""
N4;アジア;;Asie, asiatique
N3;あずける;預ける [一段];confier à la garde de, laisser quelqu'un à la charge de
N3;あたる;当たる [亓段];entreprendre, avoir du succès, être assigné, êtreéquivalent à
N3;あちこち・あち らこちら;彼方・此方;ici, par ici, celui-ci
N1;あっさり;;facilement, simplement, rapidement
N1;アップ;; en ce qui me concerne
N1;あとまわし;後回し;e fait de remettre à plus tard, d'ajourner quelque chose
N4;アナウンサー;;présentateur (TV, radio)
N5;あの;;bien, donc...
N5;あの;彼の;ce (loin du locuteur et de l'interlocuteur)
N5;アパート;;appartement
N5;あびる;浴びる [一段];prendre une douche, prendre un bain, se dorer au soleil
N4;アフリカ;;Afrique
N1;アプローチ;;approche, voie d'accès
N1;あべこべ;;inverse, contraire, opposé
N1;あまえる;甘える [一段];se comporter comme un enfant gâté, faire un caprice
N1;あまくち;甘口;saveur douce, sucrée
N1;アマチュア;;amateur
N4;アメリカ;;Amérique
N1;あやふや;;ambigu, incertain, vague
N1;アラブ;;arabe
N3;"あらわれる""";現れる・表れる・現われる[一段];apparaître, se dévoiler, s'exprimer (sentiment)
N1;アルカリ;;alcali
N5;あるく;歩く [亓段];marcher
N4;アルコール;;alcool
N4;アルバイト;;"travail à temps partiel"""
N3;アルバム;;album
N1;アルミ;;"aluminium"""
N1;アワー・アウア;;heure
N1;あわす;吅わす [亓段];comparer, combiner, ajouter, unir, fairecorrespondre
N1;アンケート;;enquête
N1;アンコール;;encore
N2;アンテナ;;"antenne"""
N4;あんな;;comme ça
N4;あんな;;ce genre de
N3;あんなに;;à tel point que
N5;あまり;余り;excès, trop plein, surplus
N1;イエス;;oui
N2;イコール;;égal à
N1;いざ;;bien, maintenant
N2;いしょくじゅう;衣食住;nécessités de la vie (des vêtements, de la nourriture et un abri)
"N5""";いただきます;戴きます;merci pour ce repas (expression de gratitude avant de commencer à manger)
N2;いちぶ;一部;une section, une partie (d'un ensemble), un exemplaire (d'un document)
N1;"いちもく・ひとめ""一目";;coup d'œil, aperçu
N4;いっしょうけんめい;一生懸命;de toute ses forces, très fort
N2;いってきます;行って来ます;à tout à l'heure (se dit en partant et en ayant l'intention de revenir)
N4;いつでも;何時でも;à tout à l'heure (se dit en partant lorsqu'on reviendra plus tard)
N1;いとなむ;営む [亓段];diriger (une cérémonie, un spectacle, une entreprise)
N2;イメージ;;image
N5;いれる;入れる [一段];introduire, mettre dedans, insérer, préparer (du thé, du café)
N3;インク・インキ;;encre
N3;いんたい;引退;retraite, isolement
N2;インタビュー;;interview, entretien
N1;インテリ;;intelligent
N1;インフォメーション;;information
N3;ウイスキー;;whisky
N2;ウーマン;;femme
N2;ウール;;laine
N5;うえ;上;dessus
N2;ウエートレス;;serveuse, hôtesse
N2;うかべる;浮かべる [一段];faire flotter, montrer (des sentiments), avoir l'air (triste, heureux)
N2;うっかり;;par inadvertance, par inattention
N2;うつす;映す [亓段];réfléchir (quelque chose), projeter (un film, une ombre)
