"1","N2","Base verbale + がち","Base verbale + がち : avoir tendance à souvent ~","Peut se traduire par : avoir tendance à souvent ~\
Suggère qu'une action a tendance à se répéter souvent ou facilement\
S'utilise pour souligner quelque chose de négatif comme : être absent, être malade...","Verbe en ます sans ます + がち","彼女は学校に遅れがちだ。\
多くの青年が同じ過ちを犯しがちである。\
私たちは時間を浪費しがちである。"
"2","N2","Base verbale + きれる / きれない","Base verbale + きれる / きれない : être (in)capable de faire entièrement quelque chose","Avec きれる, on indique qu’on est capable de faire complètement quelque chose\
Avec きれない, on indique qu’on ne peut pas aller jusqu’au bout","Verbe en ます sans ます + きれる / きれない","一年でローンが払いきれるか。\
彼は使いきれないほどの金を稼ぐ。\
彼女は読みきれないほどたくさんの本を持っている。"
"3","N2","Base verbale + っこない","Base verbale + っこない : il n’y a pas moyen de ~","Exprime un refus catégorique ou l’impossibilité logique\
Registre oral et familier","Verbe en ます sans ます + っこない","それは君だってまちがいっこない。\
今日は用事いっぱいあるので休みっこない。\
彼は今夜たくさん飲んだので、安全に運転出来っこない。"
"4","N2","Base verbale + 次第 (しだい)","Base verbale + 次第 (しだい) : dès que ~","Exprime une séquence planifiée : B sera fait immédiatement après que A est terminé\
Ne peut pas être suivi d’un passé","Verbe en ます sans ます + 次第","北海道に着き次第、一筆差し上げます。\
終わり次第すぐにこの質問用紙を送ります。"
"5","N2","だらけ","だらけ : plein de ~","Peut se traduire par : couvert de ~ / rempli de ~ (avec connotation désagréable)","Nom + だらけ (ou + の + nom)","床は血だらけだった。\
せっけんだらけの手で私にさわらないで。\
彼は泥だらけだった。"
"6","N2","どころか","どころか : loin de ~","Peut se traduire par : loin de ~, voire même ~","Nom / verbe / adjectif + どころか","彼は貯金するどころか借金だらけだ。\
あの人は英語どころかアラビア語もスワヒリ語も話せる。\
それは失敗どころか大成功だった。"
"7","N2","はもとより / はもちろん","はもとより / はもちろん : bien évidemment ~ mais aussi ~","Exprime une évidence suivie d’un ajout\
はもとより est plus formel","Nom + はもとより / はもちろん","彼は私たちに着物はもちろんお金もくれた。\
学生はもちろん先生も来た。\
彼女は英語はもちろん、フランス語も話せる。"
"8","N2","一方だ","一方だ (いっぽうだ) : continuer à ~ de plus en plus","Exprime une tendance continue ou croissante\
Neutre ou négative","Verbe à la forme neutre + 一方だ","物価は上がる一方だ。\
最近英語を使わないので、忘れる一方で困っている。"
"9","N2","から ~ にかけて","から ~ にかけて : de ~ à ~","Exprime une étendue approximative dans le temps ou l’espace (≠ から〜まで)","Nom + から + Nom + にかけて","このため、今夜から明日にかけて曇りや雨の天気でしょう。\
北海道から東北にかけて地震が発生しました。"
"10","N2","にかぎって","に限って (にかぎって) : particulièrement lorsque ~","Utilisé pour exprimer qu’un événement inhabituel se produit précisément dans un certain contexte","Nom + に限って","急いでいる時に限ってバスが遅れる。\
その日に限って彼は欠席だった。"
"11","N2","にかんして","に関して (にかんして) : concernant ~","Utilisé pour introduire un sujet de discussion ou d’étude\
Soutenu, proche de について","Nom + に関して / に関する","旅行に関しては、切符を持っています。\
インターネットに関する規制が強まっている。\
その問題に関して調査中です。"
"12","N2","にかわって","に代わって / に代わり (にかわって) : à la place de ~","1) Remplacement : à la place de quelqu’un/quelque chose\
2) Représentation : au nom de quelqu’un","Nom + に代わって / に代わり","今はメールに代わってチャットが使われている。\
父に代わってご挨拶申し上げます。"
"13","N2","にきまっている","に決まっている : c’est forcément ~","Exprime une certitude forte fondée sur la logique ou l’intuition\
Soutenu à l’oral","Phrase + に決まっている","あんな話、嘘に決まっている。\
誰がやったかなんて、彼に決まっている。"
"14","N2","にくらべて","に比べて (にくらべて) : comparé à ~","Permet de faire une comparaison explicite entre deux éléments","Nom + に比べて","去年に比べて、今年の夏は涼しい。\
兄に比べて、私は背が低い。"
"15","N2","にくわえて","に加えて (にくわえて) : en plus de ~","Permet d’ajouter un élément nouveau à une situation donnée","Nom + に加えて","雨に加えて風も強くなってきた。\
彼は英語に加えてスペイン語も話せる。"
"16","N2","にたいして","に対して (にたいして) : envers ~ / à l’égard de ~","Indique la cible ou le destinataire d’une action ou sentiment","Nom + に対して","先生に対して失礼な態度を取るな。\
政府に対する不満が高まっている。"
"17","N2","にとって","にとって : pour ~ / du point de vue de ~","Permet d’exprimer une opinion ou un jugement depuis une perspective spécifique","Nom + にとって","私にとって家族は一番大切です。\
外国人にとって漢字は難しい。"
"18","N2","につけ","につけて / についても : à chaque fois que ~ / que ce soit ~ ou ~","1) につけ seul : chaque fois que ~\
2) につけ〜につけ : que ce soit A ou B, dans tous les cas…","Verbe à la forme neutre + につけ / につけて\
形容詞/名詞 + につけ + 形容詞/名詞 + につけ","彼の声を聞くにつけ、安心する。\
悲しいにつけ、嬉しいにつけ、彼女に話してしまう。"
"19","N2","おかげで","おかげで : grâce à ~","Exprime une gratitude ou un résultat positif causé par quelque chose","Nom + の + おかげで / Verbe en た + おかげで","先生のおかげで合格できました。\
早く出発したおかげで、間に合った。"
"20","N2","さえ + verbe-えば","さえ〜ば : s’il suffit que ~, alors ~","Permet d’indiquer qu’une seule condition suffit à produire un résultat","Nom + さえ + verbe conditionnel (〜ば)","名前さえ書けば参加できます。\
静かにさえしていれば問題ない。"
"21","N2","せいで","せいで : à cause de ~","Exprime une cause négative ou un effet indésirable","Nom + の + せいで / Verbe en た + せいで","風邪のせいで試験を受けられなかった。\
彼のせいで迷惑した。"
"22","N2","たびに","たびに : chaque fois que ~","Indique qu’un événement B se produit systématiquement à chaque fois que A arrive","Verbe en forme neutre + たびに / Nom + の + たびに","この曲を聞くたびに昔を思い出す。\
出張のたびにお土産を買う。"
"23","N2","たとえ〜ても","たとえ〜ても : même si ~","Exprime une hypothèse extrême ou une concession\
Renforce le 〜ても avec たとえ","たとえ + phrase en 〜ても","たとえ反対されても行きます。\
たとえ給料が安くてもこの仕事が好きです。"
"24","N2","といえば","といえば : en parlant de ~","Permet de lancer un sujet lié à ce qui vient d’être mentionné","Nom + といえば","京都といえば、お寺が有名ですね。\
旅行といえば、今度の連休にどこ行く？"
"25","N2","といったら","といったら : si on parle de ~, alors ~","Accentue l’étonnement ou l’intensité à propos du sujet mentionné","Nom + といったら","彼の料理の腕前といったら、プロ以上だ。\
渋滞のひどさといったら信じられない。"
"26","N2","というと","というと : à propos de ~ / quand on parle de ~","Souvent utilisé pour confirmer ou clarifier ce que l’on entend ou comprend","Nom + というと","お盆というと、8月15日ごろですね。\
フランス料理というと、高級なイメージがある。"
